n,k,seed,train_size,model,test_acc,n_test
64,1,0,1000,LR,0.97075,20000
64,1,0,1000,MLP,0.95395,20000
64,1,0,2000,LR,0.9872,20000
64,1,0,2000,MLP,0.9551,20000
64,1,0,5000,LR,0.99335,20000
64,1,0,5000,MLP,0.9626,20000
64,1,0,10000,LR,0.9965,20000
64,1,0,10000,MLP,0.9827,20000
64,1,0,20000,LR,0.99775,20000
64,1,0,20000,MLP,0.98585,20000
64,1,0,50000,LR,0.99845,20000
64,1,0,50000,MLP,0.9899,20000
64,1,0,100000,LR,0.9993,20000
64,1,0,200000,LR,0.99945,20000
64,1,1,1000,LR,0.97175,20000
64,1,1,1000,MLP,0.9384,20000
64,1,1,2000,LR,0.9838,20000
64,1,1,2000,MLP,0.9646,20000
64,1,1,5000,LR,0.9943,20000
64,1,1,5000,MLP,0.9762,20000
64,1,1,10000,LR,0.99635,20000
64,1,1,10000,MLP,0.9788,20000
64,1,1,20000,LR,0.99745,20000
64,1,1,20000,MLP,0.98725,20000
64,1,1,50000,LR,0.9984,20000
64,1,1,50000,MLP,0.99165,20000
64,1,1,100000,LR,0.99905,20000
64,1,1,200000,LR,0.99915,20000
64,1,2,1000,LR,0.9734,20000
64,1,2,1000,MLP,0.9381,20000
64,1,2,2000,LR,0.98475,20000
64,1,2,2000,MLP,0.95675,20000
64,1,2,5000,LR,0.9897,20000
64,1,2,5000,MLP,0.97255,20000
64,1,2,10000,LR,0.9942,20000
64,1,2,10000,MLP,0.9775,20000
64,1,2,20000,LR,0.9967,20000
64,1,2,20000,MLP,0.9844,20000
64,1,2,50000,LR,0.99825,20000
64,1,2,50000,MLP,0.9888,20000
64,1,2,100000,LR,0.9987,20000
64,1,2,200000,LR,0.99905,20000
64,1,3,1000,LR,0.96665,20000
64,1,3,1000,MLP,0.947,20000
64,1,3,2000,LR,0.9808,20000
64,1,3,2000,MLP,0.9378,20000
64,1,3,5000,LR,0.9928,20000
64,1,3,5000,MLP,0.97645,20000
64,1,3,10000,LR,0.995,20000
64,1,3,10000,MLP,0.9833,20000
64,1,3,20000,LR,0.99705,20000
64,1,3,20000,MLP,0.9856,20000
64,1,3,50000,LR,0.9985,20000
64,1,3,50000,MLP,0.9903,20000
64,1,3,100000,LR,0.99865,20000
64,1,3,200000,LR,0.99925,20000
64,2,0,1000,LR,0.52615,20000
64,2,0,1000,MLP,0.52455,20000
64,2,0,2000,LR,0.54035,20000
64,2,0,2000,MLP,0.53225,20000
64,2,0,5000,LR,0.5305,20000
64,2,0,5000,MLP,0.92095,20000
64,2,0,10000,LR,0.53515,20000
64,2,0,10000,MLP,0.9678,20000
64,2,0,20000,LR,0.533,20000
64,2,0,20000,MLP,0.97785,20000
64,2,0,50000,LR,0.52035,20000
64,2,0,50000,MLP,0.98395,20000
64,2,0,100000,LR,0.51475,20000
64,2,0,200000,LR,0.5143,20000
64,2,1,1000,LR,0.518,20000
64,2,1,1000,MLP,0.52825,20000
64,2,1,2000,LR,0.53135,20000
64,2,1,2000,MLP,0.5272,20000
64,2,1,5000,LR,0.53695,20000
64,2,1,5000,MLP,0.89615,20000
64,2,1,10000,LR,0.538,20000
64,2,1,10000,MLP,0.96425,20000
64,2,1,20000,LR,0.5334,20000
64,2,1,20000,MLP,0.97545,20000
64,2,1,50000,LR,0.51465,20000
64,2,1,50000,MLP,0.98615,20000
64,2,1,100000,LR,0.5036,20000
64,2,1,200000,LR,0.49715,20000
64,2,2,1000,LR,0.5418,20000
64,2,2,1000,MLP,0.53685,20000
64,2,2,2000,LR,0.5504,20000
64,2,2,2000,MLP,0.52675,20000
64,2,2,5000,LR,0.5654,20000
64,2,2,5000,MLP,0.8968,20000
64,2,2,10000,LR,0.59155,20000
64,2,2,10000,MLP,0.962,20000
64,2,2,20000,LR,0.6057,20000
64,2,2,20000,MLP,0.9671,20000
64,2,2,50000,LR,0.61805,20000
64,2,2,50000,MLP,0.9836,20000
64,2,2,100000,LR,0.62555,20000
64,2,2,200000,LR,0.62615,20000
64,2,3,1000,LR,0.5364,20000
64,2,3,1000,MLP,0.53445,20000
64,2,3,2000,LR,0.549,20000
64,2,3,2000,MLP,0.5343,20000
64,2,3,5000,LR,0.56435,20000
64,2,3,5000,MLP,0.89315,20000
64,2,3,10000,LR,0.5818,20000
64,2,3,10000,MLP,0.9677,20000
64,2,3,20000,LR,0.58,20000
64,2,3,20000,MLP,0.9715,20000
64,2,3,50000,LR,0.60175,20000
64,2,3,50000,MLP,0.98425,20000
64,2,3,100000,LR,0.61705,20000
