n,k,sigma,seed,ber
64,1,0.01,0,0.0048
64,1,0.01,1,0.003306666666666666
64,1,0.01,2,0.00352
64,1,0.025,0,0.010573333333333332
64,1,0.025,1,0.007986666666666668
64,1,0.025,2,0.0074
64,1,0.05,0,0.01956
64,1,0.05,1,0.014853333333333336
64,1,0.05,2,0.015226666666666668
64,1,0.075,0,0.028733333333333336
64,1,0.075,1,0.022106666666666667
64,1,0.075,2,0.022973333333333335
64,1,0.1,0,0.037733333333333334
64,1,0.1,1,0.0286
64,1,0.1,2,0.030493333333333334
64,2,0.01,0,0.005906666666666666
64,2,0.01,1,0.00592
64,2,0.01,2,0.006613333333333332
64,2,0.025,0,0.015466666666666665
64,2,0.025,1,0.014346666666666667
64,2,0.025,2,0.015893333333333332
64,2,0.05,0,0.03094666666666667
64,2,0.05,1,0.03034666666666667
64,2,0.05,2,0.031066666666666663
64,2,0.075,0,0.04530666666666667
64,2,0.075,1,0.04565333333333334
64,2,0.075,2,0.045426666666666664
64,2,0.1,0,0.06027999999999999
64,2,0.1,1,0.06029333333333334
64,2,0.1,2,0.0592
64,3,0.01,0,0.008440000000000001
64,3,0.01,1,0.010106666666666667
64,3,0.01,2,0.009773333333333334
64,3,0.025,0,0.02132
64,3,0.025,1,0.024026666666666665
64,3,0.025,2,0.024
64,3,0.05,0,0.04286666666666667
64,3,0.05,1,0.047093333333333334
64,3,0.05,2,0.04505333333333333
64,3,0.075,0,0.06342666666666666
64,3,0.075,1,0.06793333333333333
64,3,0.075,2,0.06541333333333334
64,3,0.1,0,0.08230666666666667
64,3,0.1,1,0.08910666666666667
64,3,0.1,2,0.08605333333333333
64,4,0.01,0,0.012106666666666667
64,4,0.01,1,0.013186666666666668
64,4,0.01,2,0.012013333333333334
64,4,0.025,0,0.02976
64,4,0.025,1,0.03269333333333334
64,4,0.025,2,0.028919999999999998
64,4,0.05,0,0.05914666666666667
64,4,0.05,1,0.06427999999999999
64,4,0.05,2,0.056946666666666666
64,4,0.075,0,0.08722666666666666
64,4,0.075,1,0.09436
64,4,0.075,2,0.085
64,4,0.1,0,0.11392000000000001
64,4,0.1,1,0.12386666666666665
64,4,0.1,2,0.11014666666666667
64,5,0.01,0,0.01732
64,5,0.01,1,0.014706666666666666
64,5,0.01,2,0.01728
64,5,0.025,0,0.042186666666666664
64,5,0.025,1,0.03794666666666666
64,5,0.025,2,0.041613333333333336
64,5,0.05,0,0.07918666666666667
64,5,0.05,1,0.07577333333333333
64,5,0.05,2,0.08001333333333334
64,5,0.075,0,0.11245333333333334
64,5,0.075,1,0.11066666666666668
64,5,0.075,2,0.11665333333333333
64,5,0.1,0,0.14382666666666666
64,5,0.1,1,0.14302666666666666
64,5,0.1,2,0.14854666666666666
64,6,0.01,0,0.018613333333333332
64,6,0.01,1,0.017159999999999998
64,6,0.01,2,0.016173333333333335
64,6,0.025,0,0.04394666666666667
64,6,0.025,1,0.04086666666666666
64,6,0.025,2,0.04272
64,6,0.05,0,0.08488
64,6,0.05,1,0.07804
64,6,0.05,2,0.08269333333333334
64,6,0.075,0,0.12134666666666667
64,6,0.075,1,0.11569333333333334
64,6,0.075,2,0.11966666666666667
64,6,0.1,0,0.15549333333333332
64,6,0.1,1,0.14952
64,6,0.1,2,0.15389333333333333
