n,k,sigma,ber,rho,feasible,r,n_bch,k_bch,t,blocks,resp_bits,helper_bits,bits_per_key_bit,p_fail
64,1,0.025,0.007995,1.0,1,1,127,64,10,2,254,126,1.98,1.622e-08
64,1,0.025,0.007995,0.9,1,1,255,163,12,1,255,92,1.99,2.057e-07
64,1,0.05,0.015836,1.0,1,1,255,131,16,1,255,124,1.99,9.325e-07
64,1,0.05,0.015836,0.9,1,1,127,50,12,4,508,308,3.97,5.581e-07
64,1,0.1,0.031597,1.0,1,1,255,87,26,2,510,336,3.98,1.160e-07
64,1,0.1,0.031597,0.9,1,1,511,229,38,1,511,282,3.99,6.086e-07
64,2,0.025,0.016177,1.0,1,1,127,50,12,3,381,231,2.98,5.325e-07
64,2,0.025,0.016177,0.9,1,1,127,50,12,4,508,308,3.97,7.099e-07
64,2,0.05,0.031525,1.0,1,1,255,87,26,2,510,336,3.98,1.108e-07
64,2,0.05,0.031525,0.9,1,1,511,229,38,1,511,282,3.99,5.757e-07
64,2,0.1,0.06131,1.0,1,3,127,64,10,2,762,634,5.95,3.334e-07
64,2,0.1,0.06131,0.9,1,3,255,147,14,2,1530,1236,11.95,3.585e-07
64,3,0.025,0.02277,1.0,1,1,127,43,14,3,381,252,2.98,7.254e-07
64,3,0.025,0.02277,0.9,1,1,255,107,22,2,510,296,3.98,6.351e-08
64,3,0.05,0.044746,1.0,1,1,511,157,48,1,511,354,3.99,6.900e-07
64,3,0.05,0.044746,0.9,1,1,511,148,52,2,1022,726,7.98,4.014e-08
64,3,0.1,0.086623,1.0,1,1,511,67,86,2,1022,888,7.98,2.426e-09
64,3,0.1,0.086623,0.9,1,5,511,385,14,1,2555,2170,19.96,3.941e-07
64,4,0.025,0.031864,1.0,1,1,255,87,26,2,510,336,3.98,1.371e-07
64,4,0.025,0.031864,0.9,1,1,511,229,38,1,511,282,3.99,7.455e-07
64,4,0.05,0.062129,1.0,1,3,127,64,10,2,762,634,5.95,4.304e-07
64,4,0.05,0.062129,0.9,1,3,255,147,14,2,1530,1236,11.95,4.964e-07
64,4,0.1,0.117902,1.0,1,5,255,139,15,1,1275,1136,9.96,6.226e-07
64,4,0.1,0.117902,0.9,1,5,511,313,23,3,7665,6726,59.88,8.057e-07
64,5,0.025,0.038866,1.0,1,1,255,71,28,2,510,368,3.98,6.123e-07
64,5,0.025,0.038866,0.9,1,1,511,184,44,1,511,327,3.99,4.639e-07
64,5,0.05,0.074799,1.0,1,1,255,45,43,3,765,630,5.98,5.742e-07
64,5,0.05,0.074799,0.9,1,3,511,295,26,1,1533,1238,11.98,1.049e-07
64,5,0.1,0.139515,1.0,1,3,511,139,54,1,1533,1394,11.98,7.080e-07
64,5,0.1,0.13951523809523808,0.9,0,,,,,,,,,
64,6,0.025,0.045734,1.0,1,1,511,148,52,1,511,363,3.99,4.036e-08
64,6,0.025,0.045734,0.9,1,1,511,148,52,2,1022,726,7.98,8.073e-08
64,6,0.05,0.087613,1.0,1,1,511,67,86,2,1022,888,7.98,4.161e-09
64,6,0.05,0.087613,0.9,1,5,511,385,14,1,2555,2170,19.96,5.886e-07
64,6,0.1,0.161522,1.0,1,7,255,131,16,1,1785,1654,13.95,8.841e-07
64,6,0.1,0.16152190476190476,0.9,0,,,,,,,,,
128,1,0.025,0.007755,1.0,1,1,127,64,10,2,254,126,1.98,1.190e-08
128,1,0.025,0.007755,0.9,1,1,255,163,12,1,255,92,1.99,1.460e-07
128,1,0.05,0.015814,1.0,1,1,255,131,16,1,255,124,1.99,9.153e-07
128,1,0.05,0.015814,0.9,1,1,127,50,12,4,508,308,3.97,5.494e-07
128,1,0.1,0.032024,1.0,1,1,255,87,26,2,510,336,3.98,1.514e-07
128,1,0.1,0.032024,0.9,1,1,511,229,38,1,511,282,3.99,8.410e-07
128,2,0.025,0.016005,1.0,1,1,127,50,12,3,381,231,2.98,4.718e-07
128,2,0.025,0.016005,0.9,1,1,127,50,12,4,508,308,3.97,6.291e-07
128,2,0.05,0.031592,1.0,1,1,255,87,26,2,510,336,3.98,1.156e-07
128,2,0.05,0.031592,0.9,1,1,511,229,38,1,511,282,3.99,6.064e-07
128,2,0.1,0.061933,1.0,1,3,127,64,10,2,762,634,5.95,4.052e-07
128,2,0.1,0.061933,0.9,1,3,255,147,14,2,1530,1236,11.95,4.596e-07
128,3,0.025,0.02363,1.0,1,1,63,16,11,8,504,376,3.94,2.109e-07
128,3,0.025,0.02363,0.9,1,1,255,107,22,2,510,296,3.98,1.227e-07
128,3,0.05,0.046755,1.0,1,1,511,148,52,1,511,363,3.99,8.091e-08
128,3,0.05,0.046755,0.9,1,1,511,148,52,2,1022,726,7.98,1.618e-07
128,3,0.1,0.090552,1.0,1,1,511,67,86,2,1022,888,7.98,1.928e-08
128,3,0.1,0.090552,0.9,1,3,511,241,32,2,3066,2584,23.95,4.051e-07
128,4,0.025,0.03129,1.0,1,1,255,87,26,2,510,336,3.98,9.545e-08
128,4,0.025,0.03129,0.9,1,1,511,229,38,1,511,282,3.99,4.802e-07
128,4,0.05,0.060358,1.0,1,3,127,64,10,2,762,634,5.95,2.465e-07
128,4,0.05,0.060358,0.9,1,3,255,147,14,2,1530,1236,11.95,2.437e-07
128,4,0.1,0.114444,1.0,1,5,255,139,15,1,1275,1136,9.96,2.088e-07
128,4,0.1,0.114444,0.9,1,5,511,322,22,2,5110,4466,39.92,4.724e-07
128,5,0.025,0.038892,1.0,1,1,255,71,28,2,510,368,3.98,6.209e-07
128,5,0.025,0.038892,0.9,1,1,511,184,44,1,511,327,3.99,4.725e-07
128,5,0.05,0.075442,1.0,1,1,255,45,43,3,765,630,5.98,7.265e-07
128,5,0.05,0.075442,0.9,1,3,511,295,26,1,1533,1238,11.98,1.452e-07
128,5,0.1,0.140723,1.0,1,3,511,130,55,1,1533,1403,11.98,5.284e-07
128,5,0.1,0.14072285714285715,0.9,0,,,,,,,,,
128,6,0.025,0.046608,1.0,1,1,511,148,52,1,511,363,3.99,7.329e-08
128,6,0.025,0.046608,0.9,1,1,511,148,52,2,1022,726,7.98,1.466e-07
128,6,0.05,0.088395,1.0,1,1,511,67,86,2,1022,888,7.98,6.318e-09
128,6,0.05,0.088395,0.9,1,5,511,385,14,1,2555,2170,19.96,8.036e-07
128,6,0.1,0.162461,1.0,1,9,127,64,10,2,2286,2158,17.86,1.638e-08
128,6,0.1,0.16246095238095237,0.9,0,,,,,,,,,
