ipuf,n,train_size,seed,model,test_acc
"(1,1)",64,20000,0,LR,0.7475
"(1,1)",64,20000,0,MLP,0.95475
"(1,1)",64,20000,1,LR,0.7445
"(1,1)",64,20000,1,MLP,0.9495
"(1,1)",64,20000,2,LR,0.7365
"(1,1)",64,20000,2,MLP,0.947
"(1,1)",64,50000,0,LR,0.7592
"(1,1)",64,50000,0,MLP,0.9755
"(1,1)",64,50000,1,LR,0.7555
"(1,1)",64,50000,1,MLP,0.9741
"(1,1)",64,50000,2,LR,0.7406
"(1,1)",64,50000,2,MLP,0.9718
"(1,1)",64,200000,0,LR,0.7537
"(1,1)",64,200000,0,MLP,0.98735
"(1,1)",64,200000,1,LR,0.752375
"(1,1)",64,200000,1,MLP,0.98805
"(1,1)",64,200000,2,LR,0.741075
"(1,1)",64,200000,2,MLP,0.988425
"(2,2)",64,20000,0,LR,0.514
"(2,2)",64,20000,0,MLP,0.63475
"(2,2)",64,20000,1,LR,0.51825
"(2,2)",64,20000,1,MLP,0.6755
"(2,2)",64,20000,2,LR,0.5165
"(2,2)",64,20000,2,MLP,0.6405
"(2,2)",64,50000,0,LR,0.523
"(2,2)",64,50000,0,MLP,0.8989
"(2,2)",64,50000,1,LR,0.5168
"(2,2)",64,50000,1,MLP,0.9237
"(2,2)",64,50000,2,LR,0.5232
"(2,2)",64,50000,2,MLP,0.9304
"(2,2)",64,200000,0,LR,0.537525
"(2,2)",64,200000,0,MLP,0.9774
"(2,2)",64,200000,1,LR,0.507475
"(2,2)",64,200000,1,MLP,0.975875
"(2,2)",64,200000,2,LR,0.536175
"(2,2)",64,200000,2,MLP,0.977175
"(1,2)",64,20000,0,LR,0.76675
"(1,2)",64,20000,0,MLP,0.85525
"(1,2)",64,20000,1,LR,0.68375
"(1,2)",64,20000,1,MLP,0.8685
"(1,2)",64,20000,2,LR,0.743
"(1,2)",64,20000,2,MLP,0.8735
"(1,2)",64,50000,0,LR,0.7759
"(1,2)",64,50000,0,MLP,0.9617
"(1,2)",64,50000,1,LR,0.6861
"(1,2)",64,50000,1,MLP,0.9572
"(1,2)",64,50000,2,LR,0.7505
"(1,2)",64,50000,2,MLP,0.9585
"(1,2)",64,200000,0,LR,0.77195
"(1,2)",64,200000,0,MLP,0.983575
"(1,2)",64,200000,1,LR,0.694
"(1,2)",64,200000,1,MLP,0.980825
"(1,2)",64,200000,2,LR,0.751175
"(1,2)",64,200000,2,MLP,0.981625
