n,k,sigma_noise,seed,ber,n_eval,n_repeats
64,1,0.025,0,0.0070761904761904755,10000,21
64,1,0.025,1,0.007671428571428571,10000,21
64,1,0.025,2,0.0084,10000,21
64,1,0.025,3,0.008228571428571427,10000,21
64,1,0.025,4,0.0086,10000,21
64,1,0.05,0,0.014223809523809524,10000,21
64,1,0.05,1,0.01511904761904762,10000,21
64,1,0.05,2,0.016409523809523808,10000,21
64,1,0.05,3,0.016223809523809526,10000,21
64,1,0.05,4,0.017204761904761903,10000,21
64,1,0.1,0,0.028495238095238098,10000,21
64,1,0.1,1,0.030371428571428567,10000,21
64,1,0.1,2,0.033,10000,21
64,1,0.1,3,0.03231428571428571,10000,21
64,1,0.1,4,0.03380476190476191,10000,21
64,2,0.025,0,0.0162,10000,21
64,2,0.025,1,0.015971428571428574,10000,21
64,2,0.025,2,0.015609523809523808,10000,21
64,2,0.025,3,0.017242857142857143,10000,21
64,2,0.025,4,0.01586190476190476,10000,21
64,2,0.05,0,0.03266666666666666,10000,21
64,2,0.05,1,0.03066666666666666,10000,21
64,2,0.05,2,0.030857142857142854,10000,21
64,2,0.05,3,0.032519047619047614,10000,21
64,2,0.05,4,0.03091428571428571,10000,21
64,2,0.1,0,0.06441904761904761,10000,21
64,2,0.1,1,0.059552380952380954,10000,21
64,2,0.1,2,0.06047619047619047,10000,21
64,2,0.1,3,0.061666666666666654,10000,21
64,2,0.1,4,0.060433333333333325,10000,21
64,3,0.025,0,0.02428095238095238,10000,21
64,3,0.025,1,0.02414285714285714,10000,21
64,3,0.025,2,0.02213333333333333,10000,21
64,3,0.025,3,0.02092380952380952,10000,21
64,3,0.025,4,0.02237142857142857,10000,21
64,3,0.05,0,0.046104761904761905,10000,21
64,3,0.05,1,0.04738571428571428,10000,21
64,3,0.05,2,0.04436190476190476,10000,21
64,3,0.05,3,0.04145238095238095,10000,21
64,3,0.05,4,0.04442380952380952,10000,21
64,3,0.1,0,0.08847142857142856,10000,21
64,3,0.1,1,0.0913952380952381,10000,21
64,3,0.1,2,0.08795238095238095,10000,21
64,3,0.1,3,0.07972857142857143,10000,21
64,3,0.1,4,0.08556666666666667,10000,21
64,4,0.025,0,0.03328571428571429,10000,21
64,4,0.025,1,0.03200952380952381,10000,21
64,4,0.025,2,0.03241904761904762,10000,21
64,4,0.025,3,0.031090476190476186,10000,21
64,4,0.025,4,0.030514285714285713,10000,21
64,4,0.05,0,0.0640047619047619,10000,21
64,4,0.05,1,0.06310952380952381,10000,21
64,4,0.05,2,0.06301904761904761,10000,21
64,4,0.05,3,0.06128571428571429,10000,21
64,4,0.05,4,0.05922380952380952,10000,21
64,4,0.1,0,0.12233809523809523,10000,21
64,4,0.1,1,0.1191333333333333,10000,21
64,4,0.1,2,0.11856666666666665,10000,21
64,4,0.1,3,0.11690952380952381,10000,21
64,4,0.1,4,0.11256190476190477,10000,21
64,5,0.025,0,0.04061904761904762,10000,21
64,5,0.025,1,0.03772380952380952,10000,21
64,5,0.025,2,0.03754285714285714,10000,21
64,5,0.025,3,0.040119047619047624,10000,21
64,5,0.025,4,0.03832380952380952,10000,21
64,5,0.05,0,0.0786142857142857,10000,21
64,5,0.05,1,0.07315714285714284,10000,21
64,5,0.05,2,0.0721095238095238,10000,21
64,5,0.05,3,0.07655238095238094,10000,21
64,5,0.05,4,0.07356190476190476,10000,21
64,5,0.1,0,0.14385714285714285,10000,21
64,5,0.1,1,0.13809047619047618,10000,21
64,5,0.1,2,0.13683333333333333,10000,21
64,5,0.1,3,0.14208571428571426,10000,21
