n,k,model,acc_mean,acc_std
64,1,LR,0.999225,0.00017078251276597448
64,1,MLP,,
64,2,LR,0.5643875,0.0681455229025845
64,2,MLP,,
64,3,LR,0.5165124999999999,0.008689684977028786
64,3,MLP,,
64,4,LR,0.5078250000000001,0.0047563115961845644
64,4,MLP,,
64,5,LR,0.5037,0.0029830074309886196
64,5,MLP,,
64,6,LR,0.49901249999999997,0.0010266247285806575
64,6,MLP,,
128,1,LR,0.9992249999999999,0.0003068658773253655
128,1,MLP,,
128,2,LR,0.528275,0.04348130824465457
128,2,MLP,,
128,3,LR,0.5523875,0.015339566215074867
128,3,MLP,,
128,4,LR,0.5012125000000001,0.00395440155607228
128,4,MLP,,
128,5,LR,0.501975,0.0035380079140669013
128,5,MLP,,
128,6,LR,0.5010125,0.0017778146697560754
128,6,MLP,,
