n,sigma,k,ber_observed,ber_predicted,rel_error_pct
64,0.025,1,0.007995,0.007995,0.0
64,0.025,2,0.016177,0.015863,1.94
64,0.025,3,0.02277,0.023604,3.66
64,0.025,4,0.031864,0.031222,2.01
64,0.025,5,0.038866,0.038718,0.38
64,0.025,6,0.045734,0.046094,0.79
64,0.05,1,0.015836,0.015836,0.0
64,0.05,2,0.031525,0.031171,1.12
64,0.05,3,0.044746,0.04602,2.85
64,0.05,4,0.062129,0.060398,2.78
64,0.05,5,0.074799,0.074322,0.64
64,0.05,6,0.087613,0.087804,0.22
64,0.1,1,0.031597,0.031597,0.0
64,0.1,2,0.06131,0.061198,0.18
64,0.1,3,0.086623,0.088927,2.66
64,0.1,4,0.117902,0.114905,2.54
64,0.1,5,0.139515,0.139241,0.2
64,0.1,6,0.161522,0.162039,0.32
128,0.025,1,0.007755,0.007755,0.0
128,0.025,2,0.016005,0.01539,3.84
128,0.025,3,0.02363,0.022907,3.06
128,0.025,4,0.03129,0.030307,3.14
128,0.025,5,0.038892,0.037592,3.34
128,0.025,6,0.046608,0.044764,3.96
128,0.05,1,0.015814,0.015814,0.0
128,0.05,2,0.031592,0.031128,1.47
128,0.05,3,0.046755,0.045958,1.7
128,0.05,4,0.060358,0.060319,0.07
128,0.05,5,0.075442,0.074225,1.61
128,0.05,6,0.088395,0.087692,0.8
128,0.1,1,0.032024,0.032024,0.0
128,0.1,2,0.061933,0.061997,0.1
128,0.1,3,0.090552,0.09005,0.56
128,0.1,4,0.114444,0.116306,1.63
128,0.1,5,0.140723,0.140881,0.11
128,0.1,6,0.162461,0.163881,0.87
