p1_measured,k,ber_k,ecc,resp_bits,helper_bits
0.005,1,0.005,"rep1+BCH(127,78,7)x2",254,98
0.005,2,0.00995,"rep1+BCH(127,64,10)x2",254,126
0.005,3,0.01485,"rep1+BCH(255,131,16)x1",255,124
0.005,4,0.0197,"rep1+BCH(127,43,14)x3",381,252
0.005,5,0.0245,"rep1+BCH(63,16,11)x8",504,376
0.005,6,0.02926,"rep1+BCH(255,91,24)x2",510,328
0.01,1,0.01,"rep1+BCH(127,64,10)x2",254,126
0.01,2,0.0198,"rep1+BCH(127,43,14)x3",381,252
0.01,3,0.0294,"rep1+BCH(255,91,24)x2",510,328
0.01,4,0.03882,"rep1+BCH(255,71,28)x2",510,368
0.01,5,0.04804,"rep1+BCH(511,148,52)x1",511,363
0.01,6,0.05708,"rep3+BCH(127,64,10)x2",762,634
0.02,1,0.02,"rep1+BCH(127,43,14)x3",381,252
0.02,2,0.0392,"rep1+BCH(255,71,28)x2",510,368
0.02,3,0.05763,"rep3+BCH(127,64,10)x2",762,634
0.02,4,0.07533,"rep1+BCH(255,45,43)x3",765,630
0.02,5,0.09231,"rep1+BCH(511,67,86)x2",1022,888
0.02,6,0.10862,"rep5+BCH(127,64,10)x2",1270,1142
0.03,1,0.03,"rep1+BCH(255,91,24)x2",510,328
0.03,2,0.0582,"rep3+BCH(127,64,10)x2",762,634
0.03,3,0.08471,"rep1+BCH(511,67,86)x2",1022,888
0.03,4,0.10963,"rep5+BCH(127,64,10)x2",1270,1142
0.03,5,0.13305,"rep3+BCH(511,148,52)x1",1533,1385
0.03,6,0.15507,"rep7+BCH(255,139,15)x1",1785,1646
0.05,1,0.05,"rep1+BCH(511,148,52)x1",511,363
0.05,2,0.095,"rep1+BCH(511,67,86)x2",1022,888
0.05,3,0.1355,"rep3+BCH(511,148,52)x1",1533,1385
0.05,4,0.17195,"rep9+BCH(127,64,10)x2",2286,2158
0.05,5,0.20475,"rep11+BCH(255,139,15)x1",2805,2666
0.05,6,0.23428,"rep9+BCH(255,71,28)x2",4590,4448
0.08,1,0.08,"rep1+BCH(511,67,86)x2",1022,888
0.08,2,0.1472,"rep7+BCH(127,64,10)x2",1778,1650
0.08,3,0.20365,"rep11+BCH(255,139,15)x1",2805,2666
0.08,4,0.25106,"rep9+BCH(511,148,52)x1",4599,4451
0.08,5,0.29089,"rep11+BCH(255,45,43)x3",8415,8280
0.08,6,0.32435,"rep11+BCH(511,40,94)x4",22484,22324
